Part Name, Part Number, Store, Total Quantity Required, Note

Raspberry Pi 4 Model B (2GB RAM), B07TD42S27, Amazon (IT), 1, 
32GB SD Card, B06XFSZGCC, Amazon (IT), 1, 

Geekworm X708 UPS HAT & Power Management Board + Li-Ion Battery Holder, 4001272206755, AliExpress, 1, Bundle 2 Option
NCR 18650B Li-Ion Battery 3400mAh, 32324914059, AliExpress, 2, 2PCS battery Option
Push Button with Led Indicator, 4000106858279, AliExpress, 1, Bundle 1 Option
Qi Receiver USB-C, 32901148157, AliExpress, 1, 
LED Diodes 3mm, 32848822296, AliExpress, 1, 

Adafruit Ultimate GPS Breakout Board, B01H1R8BK0, Amazon (IT), 1, 
CR1220 Lithium Button Cell Battery, B000JTIC3Y, Amazon (IT), 1, 

Adafruit 9 DOF IMU BNO055 Sensor, 300-91-187, Distrelec (IT), 1, 
