Part Name, Part Number, Store, Total Quantity Required, Note

LilyGo TTGO T-Beam v1.1 SX1262 + GPS NEO-M8N + ESP32, 4001287221970, AliExpress, 1, 868MHz Option

GPS + GLONASS Antenna, 32808918040, AliExpress, 1, 
LoRa Antenna, 32972870968, AliExpress, 1, 1 piece Option
u.FL to Waterproof SMA Adapter Cable, 4001038251087, AliExpress, 2, 15cm Option
SMA Connector Cap, 4000127638055, AliExpress, 2, 

NCR 18650B Li-Ion Battery 3400mAh, 32324914059, AliExpress, 1, 1PCS battery Option
Qi Receiver Micro USB, B07BQXGD86, Amazon (IT), 1, 

LED Diodes 3mm, B073WQK5Z7, Amazon (IT), 2, 
